level_1,level_2,level_3,level_4,object_category,object_name,object_code,region,community
2600000000,2610400000,,,Місто,КИЇВ,2610400000,КИЇВСЬКА ОБЛАСТЬ,КИЇВ
2600000000,2610400000,,,Місто,ХАРКІВ,2610400000,ХАРКІВСЬКА ОБЛАСТЬ,Харьків
2600000000,2610400000,,,Місто,ОДЕСА,2610400000,ОДЕСЬКА ОБЛАСТЬ,Одеса
2600000000,2610400000,,,Місто,ПОЛТАВА,2610400000,ПОЛТАВСЬКА ОБЛАСТЬ,Полтава
2600000000,2610400000,,,Місто,СУМИ,2610400000,СУМСЬКА ОБЛАСТЬ,СУМИ
2600000000,2610400000,,,Місто,ДОНЕЦЬК,2610400000,ДОНЕЦЬКА ОБЛАСТЬ,ДОНЕЦЬК
2600000000,2610400000,,,Місто,МИКОЛАЇВ,2610400000,МИКОЛАЇВСЬКА ОБЛАСТЬ,МИКОЛАЇВ
2600000000,2610400000,,,Місто,ЛЬВІВ,2610400000,ЛЬВІВСЬКА ОБЛАСТЬ,ЛЬВІВ
2600000000,2610400000,,,Місто,ХЕРСОН,2610400000,ХЕРСОНСЬКА ОБЛАСТЬ,ХЕРСОН
2600000000,2610400000,,,Місто,КИЇВ,2610400000,КИЇВСЬКА ОБЛАСТЬ,КИЇВ
2600000000,2610400000,,,Місто,ДНІПРОПЕТРІВСЬК,2610400000,ДНІПРОПЕТРІВСЬКА ОБЛАСТЬ,ДНІПРОПЕТРІВСЬК
2600000000,2610400000,,,Місто,ЖИТОМИР,2610400000,ЖИТОМИРСЬКА ОБЛАСТЬ,ЖИТОМИР
2600000000,2610400000,,,Місто,ВІННИЦЯ,2610400000,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЯ
2600000000,2610400000,,,Місто,ХМЕЛЬНИЦЬК,2610400000,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ХМЕЛЬНИЦЬК
2600000000,2610400000,,,Місто,ЧЕРНІВЦІ,2610400000,ЧЕРНІВЕЦЬКА ОБЛАСТЬ,ЧЕРНІВЦІ
2600000000,2610400000,,,Місто,ЧЕРНІГІВ,2610400000,ЧЕРНІГІВСЬКА ОБЛАСТЬ,ЧЕРНІГІВ
2600000000,2610400000,,,Місто,УЖГОРОД,2610400000,ЗАКАРПАТСЬКА ОБЛАСТЬ,УЖГОРОД
2600000000,2610400000,,,Місто,ІВАНО-ФРАНКІВСЬК,2610400000,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,ІВАНО-ФРАНКІВСЬК
2600000000,2610400000,,,Місто,ЛУЦЬК,2610400000,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬК
2600000000,2610400000,,,Місто,ТЕРНОПІЛЬ,2610400000,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,ТЕРНОПІЛЬ
2600000000,2610400000,,,Місто,ПОЛТАВА,2610400000,ПОЛТАВСЬКА ОБЛАСТЬ,ПОЛТАВА
2600000000,2610400000,,,Місто,ЛУГАНСЬК,2610400000,ЛУГАНСЬКА ОБЛАСТЬ,ЛУГАНСЬК
2600000000,2610400000,,,Місто,РІВНЕ,2610400000,РІВНЕНСЬКА ОБЛАСТЬ,РІВНЕ
